name,idf,imdb_score,crit_score,genres,release,country,language,director,actors,summ
Black Medicine 2021,https://www.imdb.com/title/tt11177120,5.3,,['هیجان انگیز'],2021,[],['انگلیسی'],['Colum Eastwood'],"['Amybeth McNulty', 'Antonia Campbell-Hughes', 'Orla Brady']",بلک مدیس یک پزشک بازار سیاه را دنبال می کند که عملیات غیرقانونی را برای دنیای جنایتکار زیرزمینی انجام می دهد. هنگامی که او به دختری جوان پناه می برد ، باید بین شکستن سوگند پزشکی یا عبور از کارفرمایان بی رحم یکی را انتخاب کند.
Black Noise 2023,https://www.imdb.com/title/tt22805590,6.6,88,"['اکشن', 'علمی-تخیلی']",2023,['ایالات متحده'],['انگلیسی'],['Philippe Martinez'],"['Frank Corbie', 'Gene Freeman', 'Thomas Downey']",اعضای یک تیم امنیتی نخبه برای نجات یک VIP در یک جزیره انحصاری مستقر شدند. ماموریت نجات تبدیل به یک تلاش ناامیدکننده برای زنده ماندن، فرار از جزیره و فرار از حضور شوم است که می خواهد به آنها آسیب برساند.
Black Site 2022,https://www.imdb.com/title/,7.5,81,"['اکشن', 'هیجان انگیز']",2022,[],['انگلیسی'],['Sophia Banks'],"['Jason Clarke', 'Michelle Monaghan']","داستان گروهی از افسران مستقر در یک مخفیگاه فوق سری که باید برای جان خود با هچت، یک زندانی با ارزش و باهوش، مبارزه کنند.

"
BlackBerry 2023,https://www.imdb.com/title/tt21867434,7.9,80,"['درام', 'زندگی نامه', 'کمدی']",2023,['کانادا'],['انگلیسی'],['Matt Johnson'],"['Glenn Howerton', 'Jay Baruchel', 'Matt Johnson']",این فیلم بر اساس داستانی واقعی روایت شده. داستان کارآفرینی به نام‌ مایک لازاریدیس است که سازنده نخستین گوشی‌های تلفن همراه بلک‌بری بود. تلفن همراه اعتیادآوری که نحوه کار، بازی و برقراری ارتباط در جهان را تغییر داد اما…
Blindsided 2021,https://www.imdb.com/title/tt10375916,3.2,,"['اکشن', 'درام', 'هیجان انگیز']",2021,['ایالات متحده'],['انگلیسی'],['Joth Riggs'],"['Costas Mandylor', 'Manny Perez', 'Natasha Henstridge']",تیلور مجبور می شود دختر جوان یک زن کلمبیایی را در حفاظت از شهود مخفی کند که در برابر یک کارتل مواد مخدر در دادگاه فدرال شهادت می دهد ، زیرا سیکاریوهای بی رحم قصد دارند آنها را شکار کنند.
Blithe Spirit 1945,https://www.imdb.com/title/tt0038363,7.1,,"['فانتزی', 'کمدی']",1945,['انگلستان'],"['اسپانیایی', 'انگلیسی']",['David Lean'],"['Constance Cummings', 'Kay Hammond', 'Rex Harrison']",یک مرد و همسر دومش توسط شبح همسر اولش تسخیر شده اند.
Blonde 2022,https://www.imdb.com/title/tt1655389,5.5,50,"['درام', 'زندگی نامه', 'عاشقانه']",2022,['ایالات متحده'],"['انگلیسی', 'ایتالیایی']",['Andrew Dominik'],"['Ana de Armas', 'Julianne Nicholson', 'Lily Fisher']",وقایع داستانی داستانی از زندگی درونی مرلین مونرو.
Blood for a Silver Dollar 1965,https://www.imdb.com/title/tt0059114,6.5,,"['اکشن', 'عاشقانه', 'وسترن']",1965,"['ایتالیا', 'فرانسه']",['ایتالیایی'],['Giorgio Ferroni'],"['Evelyn Stewart', 'Giuliano Gemma', 'Pierre Cressoy']",پس از جنگ داخلی ، افسر سابق کنفدراسیون به خانه باز می گردد و درگیر مشاجرات محلی می شود که شامل یک فرد قوی بی وجدان و سرپرست های اجیرش می شود.
Bloodfist 1989,https://www.imdb.com/title/tt0096952,4.6,81,"['اکشن', 'ورزشی']",1989,"['ایالات متحده', 'فیلیپین']",['انگلیسی'],['Terence H. Winkless'],"['Don Wilson', 'Joe Mari Avellana', 'Rob Kaman']",دون ویلسون نقش جیک ری کیک بوکسور بازنشسته را بازی می‌کند که به مانیل سفر می‌کند، جایی که برادرش در مسابقه کیک بوکسینگ برنده می‌شود. برادرش کشته می شود و جیک متوجه می شود که باید خودش وارد مسابقه شود تا برادرش را بیرون بیاورد
Bloodfist II 1990,https://www.imdb.com/title/tt0099155,4.8,81,"['اکشن', 'ورزشی']",1990,"['ایالات متحده', 'فیلیپین']",['انگلیسی'],['Andy Blumenthal'],"['Don Wilson', 'Joe Mari Avellana', 'Rina Reyes']",جیک ری، قهرمان کیک بوکسینگ، فکر می‌کرد که دوران مبارزه‌اش به پایان رسیده است، تا اینکه تماس یک دوست قدیمی او را به شرق دور و در دستان یک دیوانه می‌کشاند. این بار جیک برای جانش می جنگد!
Bloodfist III Forced to Fight 1992,https://www.imdb.com/title/tt0101481,4.8,81,['اکشن'],1992,['ایالات متحده'],['انگلیسی'],['Oley Sassone'],"['Don Wilson', 'Gregory McKinney', 'Richard Roundtree']",جیمی بلند مردی است که به ناحق متهم به جنایتی وحشیانه است. او باید در داخل زندان برای بقا، آزادی و عدالت مبارزه کند.
Bloodfist V Human Target 1994,https://www.imdb.com/title/tt0106434,5,81,['اکشن'],1994,['ایالات متحده آمریکا'],['انگلیسی'],['Jeff Yonis'],"['Andy Bolliger', 'Denice Duff', 'Don Wilson', 'Steve James']","دان ""اژدها"" ویلسون تلاش می کند تا حافظه خود را دوباره به دست آورد، بدون اینکه بداند به چه کسی اعتماد کند، یا حتی در کدام طرف می جنگد."
Bloodfist VI Ground Zero 1995,https://www.imdb.com/title/tt0109301,4.4,,['اکشن'],1995,['ایالات متحده آمریکا'],['انگلیسی'],['Rick Jacobson'],"['Anthony Boyer', 'Don Wilson', 'Marcus Aurelius', 'Michael Blanks']",تروریست‌ها یک سایت پرتاب سلاح‌های هسته‌ای را تصرف می‌کنند، اما روی یک پیک نظامی فروتن، که اتفاقاً در حال بازدید است، حساب نکنید.
Bloodfist VII Manhunt 1995,https://www.imdb.com/title/tt0112533,4.5,81,"['اکشن', 'هیجان انگیز']",1995,['ایالات متحده آمریکا'],['انگلیسی'],['Jonathan Winfrey'],"['Don Wilson', 'Jillian McWhirter', 'Jonathan Penner', 'Steven Williams']",جیم ترودل مردی است که تحت تعقیب است. او که به عنوان یک قاتل پلیس شناخته می شود، باید صرفاً برای زنده ماندن و پاک کردن نام خود - با همان پلیسی که او را قاب گرفته است مبارزه کند.
Blue Beetle 2023,https://www.imdb.com/title/tt9362930,7.2,,"['اکشن', 'علمی-تخیلی', 'ماجراجویی']",2023,['ایالات متحده'],[],['Angel Manuel Soto'],"['Bruna Marquezine', 'Susan Sarandon', 'Xolo Maridueña']",
Blue Is the Warmest Colour 2013,https://www.imdb.com/title/tt2278871,7.7,90,"['درام', 'عاشقانه']",2013,"['اسپانیا', 'بلژیک', 'فرانسه']","['انگلیسی', 'فرانسوی']",['Abdellatif Kechiche'],"['Adèle Exarchopoulos', 'Léa Seydoux', 'Salim Kechiouche']",زندگی ادل زمانی تغییر می کند که او با اِما، زنی جوان با موهای آبی آشنا می شود، که به او اجازه می دهد اشتیاق را کشف کند و خود را به عنوان یک زن و به عنوان یک بزرگسال نشان دهد. ادل جلوی دیگران رشد می کند، خودش را می جوید، خودش را گم می کند و...
Blue Seduction 2009,https://www.imdb.com/title/tt1337040,3.8,81,['هیجان انگیز'],2009,['کانادا'],['انگلیسی'],['Timothy Bond'],"['Bernard Robichaud', 'Billy Zane', 'Estella Warren', 'Jane Wheeler']",یک آهنگساز میانسال موسیقی خود را در شبکه اغوا کننده یک خواننده جوان و سکسی گرفتار می یابد که به دنبال پانزده ثانیه شهرت خود است. مایکی تیلور، زمانی بسیار محبوب ...
Blue Valentine 2010,https://www.imdb.com/title/tt1120985,7.3,81,"['درام', 'عاشقانه']",2010,['ایالات متحده'],['انگلیسی'],['Derek Cianfrance'],"['John Doman', 'Michelle Williams', 'Ryan Gosling']",رابطه یک زوج متاهل معاصر، که تکامل آنها را در طول سالها با برش دادن بین دوره های زمانی ترسیم می کند.
Blueback 2022,https://www.imdb.com/title/tt14201576,5.9,59,"['خانوادگی', 'درام']",2022,['استرالیا'],['انگلیسی'],['Robert Connolly'],"['Albert Mwangi', 'Ariel Donoghue', 'Mia Wasikowska']",ابی را تعقیب می کند، کودکی که در حین غواصی با یک بقاع آبی وحشی با شکوه دوست می شود. وقتی ابی متوجه می‌شود که ماهی در معرض تهدید است، از مادر فعال خود، دورا الهام می‌گیرد و برای نجات دوستش با شکارچیان متخلف می‌پذیرد.
Blush 2021,https://www.imdb.com/title/tt14460998,8.2,,"['انیمیشن', 'علمی-تخیلی', 'کوتاه']",2021,['ایالات متحده'],['انگلیسی'],['Joe Mateo'],[],یک باغبان-فضانورد سرگردان با یک بازدید کننده اثیری در یک سیاره کوتوله متروکه ملاقات می کند.
Bodies Bodies Bodies 2022,https://www.imdb.com/title/tt8110652,6.3,70,"['ترسناک', 'کمدی', 'هیجان انگیز']",2022,['ایالات متحده'],['انگلیسی'],['Halina Reijn'],"['Amandla Stenberg', 'Maria Bakalova', 'Rachel Sennott']",وقتی یک گروه 20 ساله و ثروتمند برای یک مهمانی طوفانی در یک عمارت خانوادگی دورافتاده برنامه ریزی می کنند، یک بازی مهمانی در این نگاه تازه و خنده دار به خنجر زدن به پشت، دوستان جعلی، و یک مهمانی بسیار بسیار اشتباه رفته است، مرگبار می شود.
Border Run 2012,https://www.imdb.com/title/tt2069955,4.2,81,"['جنایی', 'درام', 'معمایی']",2012,['ایالات متحده'],"['اسپانیایی', 'انگلیسی']",['Gabriela Tagliavini'],"['Billy Zane', 'Promise LaMarco', 'Sharon Stone']",یک خبرنگار زن آمریکایی در پس زمینه خشونت و قاچاق انسان در مرز ایالات متحده و مکزیک به دنبال برادر گمشده خود می گردد.
Born to Be Blue 2015,https://www.imdb.com/title/tt2133196,6.8,64,"['درام', 'زندگی نامه', 'موسیقی']",2015,"['انگلستان', 'کانادا']","['انگلیسی', 'ایتالیایی']",['Robert Budreau'],"['Callum Keith Rennie', 'Carmen Ejogo', 'Ethan Hawke']",تصویری دوباره از بازگشت موسیقی افسانه جاز چت بیکر در اواخر دهه 60.
Borrego 2022,https://www.imdb.com/title/tt12676006,5.3,81,['هیجان انگیز'],2022,['ایالات متحده'],['انگلیسی'],['Jesse Harris'],"['Lucy Hale', 'Nicholas Gonzalez', 'Olivia Trujillo']",بورگو یک گیاه شناس جوان را دنبال می کند که برای مطالعه یک گونه گیاهی مهاجم به یک شهر کوچک بیابانی نقل مکان می کند. او باید برای بقای خود بجنگد زمانی که توسط یک قاطر بی تجربه مواد مخدر پس از سقوط هواپیمای فوق سبک او در منطقه ربوده می شود...
Boston Strangler 2023,https://www.imdb.com/title/tt2560078,5.3,88,"['تاریخی', 'جنایی', 'درام']",2023,['ایالات متحده'],['انگلیسی'],['Matt Ruskin'],"['Carrie Coon', 'Keira Knightley', 'Robert John Burke']",لورتا مک لافلین گزارشگری بود که اولین بار قتل ها را به هم مرتبط کرد و داستان خفه کننده بوستون را افشا کرد. او و ژان کول تبعیض جنسیتی اوایل دهه 1960 را به چالش کشیدند تا از بدنام ترین قاتل سریالی شهر گزارش دهند.
Bottoms 2023,https://www.imdb.com/title/tt17527468,7.6,79,['کمدی'],2023,['ایالات متحده'],['انگلیسی'],['Emma Seligman'],"['Ayo Edebiri', 'Rachel Sennott', 'Ruby Cruz']",دو دانش‌آموز دبیرستانی نامحبوب برای داشتن رابطه جنسی قبل از فارغ‌التحصیلی، یک باشگاه مبارزه راه‌اندازی می‌کنند.
Boudica Queen of War 2023,https://www.imdb.com/title/tt22688572,6.9,88,"['اکشن', 'درام']",2023,['انگلستان'],['انگلیسی'],['Jesse V. Johnson'],"['Clive Standen', 'Olga Kurylenko', 'Peter Franzén']",جنگجوی سلتیکی که در کنار همسرش پراسوتاگوس بر قوم ایسنی حکومت می کند. پادشاه به دست سربازان رومی می میرد و پادشاهی بودیکا بدون وارث مرد باقی می ماند و رومی ها زمین و دارایی او را تصرف می کنند.
Bounce 2000,https://www.imdb.com/title/tt0186894,5.7,52,"['درام', 'عاشقانه']",2000,['ایالات متحده'],['انگلیسی'],['Don Roos'],"['Ben Affleck', 'Gwyneth Paltrow', 'Natasha Henstridge']",مردی بلیط هواپیما را با مرد دیگری عوض می کند که در آن هواپیما در تصادف می میرد. مرد عاشق همسر متوفی می شود.
Bound 2015,https://www.imdb.com/title/tt4145324,3.5,,"['درام', 'هیجان انگیز']",2015,['ایالات متحده'],['انگلیسی'],['Jared Cohn'],"['Bryce Draper', 'Charisma Carpenter', 'Morgan Obenreder']",دختر یک دلال ثروتمند املاک عاشق مرد جوانتری می شود که او را با B&D و S&M آشنا می کند. او با استفاده از قدرت جنسی تازه بیدار شده ، سرانجام مسئولیت زندگی خود را بر عهده می گیرد.
Boyhood 2014,https://www.imdb.com/title/tt1065073,7.9,100,['درام'],2014,['ایالات متحده'],"['اسپانیایی', 'انگلیسی', 'اوکراینی']",['Richard Linklater'],"['Ellar Coltrane', 'Ethan Hawke', 'Patricia Arquette']",زندگی میسون، از اوایل کودکی تا ورود او به کالج.
Brave Citizen 2023,https://www.imdb.com/title/tt22505214,6.9,,"['اکشن', 'درام', 'کمدی']",2023,['کشور کره'],['کره ای'],['Jin-pyo Park'],"['Cha Cheong-hwa', 'Park Jeong-Woo', 'Shin Hye-sun']",یک زن قهرمان سابق بوکس را دنبال می کند که اکنون به عنوان معلم جایگزین دبیرستان کار می کند و چگونه پس از مشاهده خشونت غیرقابل تحمل، تصمیم می گیرد عدالت را با مشت های خود به دست بگیرد.
Breaking 2022,https://www.imdb.com/title/tt12311620,6.2,66,"['جنایی', 'درام', 'هیجان انگیز']",2022,['ایالات متحده'],['انگلیسی'],['Abi Damaris Corbin'],"['John Boyega', 'Nicole Beharie', 'Selenis Leyva']",یک کهنه سرباز تفنگدار دریایی وقتی سعی می کند دوباره در زندگی غیرنظامی ادغام شود با چالش های روحی و روانی روبرو می شود.
Breakwater 2023,https://www.imdb.com/title/tt13924484,5.1,,"['جنایی', 'درام', 'معمایی']",2023,['ایالات متحده'],['انگلیسی'],['James Rowe'],"['Alyssa Goss', 'Darren Mann', 'Dermot Mulroney']",یک مرد جوان سابق آزادی تازه یافته خود را به خطر می اندازد تا دختر هم زندانی خود را که از هم جدا شده است ردیابی کند و ناآگاهانه شیطانی را از گذشته خود مستقیماً به درگاه او می آورد.
Bride of Chucky 1998,https://www.imdb.com/title/tt0144120,5.4,48,"['ترسناک', 'کمدی']",1998,"['ایالات متحده آمریکا', 'کانادا']",['انگلیسی'],['Ronny Yu'],"['Brad Dourif', 'Jennifer Tilly', 'Katherine Heigl']",چاکی، عروسکی که توسط یک قاتل زنجیره ای تسخیر شده است، همسر مناسبی را برای کشتن و احیای آن در بدن عروسک دیگری پیدا می کند.
Bridesmaids 2011,https://www.imdb.com/title/tt1478338,6.8,75,"['عاشقانه', 'کمدی']",2011,['ایالات متحده'],"['اسپانیایی', 'انگلیسی', 'تایلندی']",['Paul Feig'],"['Kristen Wiig', 'Maya Rudolph', 'Rose Byrne']",رقابت بین خدمتکار و یک ساقدوش، بر سر اینکه چه کسی بهترین دوست عروس است، زندگی یک شیرینی‌پز بیکار را تهدید می‌کند.
Bridget Joness Baby 2016,https://www.imdb.com/title/tt1473832,6.5,59,"['درام', 'عاشقانه', 'کمدی']",2016,"['ایالات متحده', 'چین', 'فرانسه']","['انگلیسی', 'ایتالیایی']",['Sharon Maguire'],"['Gemma Jones', 'Jim Broadbent', 'Renée Zellweger']",بریجت دوباره چهل و چند ساله و مجرد تصمیم می گیرد روی شغلش تمرکز کند و اطرافش را با دوستانش محاصره کند. سپس متوجه می شود که باردار است - اما او فقط 50٪ از هویت پدر کودک مطمئن است.
Bring Him to Me 2023,https://www.imdb.com/title/tt24131660,7.4,,"['جنایی', 'هیجان انگیز']",2023,['استرالیا'],['انگلیسی'],['Luke Sparke'],"['Barry Pepper', 'Jamie Costa', 'Sam Neill']",به دستور یک رئیس جنایتکار بی رحم، یک راننده فراری باید با وجدان خود مبارزه کند و یکی از خدمه ناآگاه را به سوی اعدام در کمین ببرد. رانندگی طولانی در پیش است.
Broadcast Signal Intrusion 2021,https://www.imdb.com/title/tt11151336,5.7,,"['ترسناک', 'جنایی', 'درام']",2021,['ایالات متحده'],['انگلیسی'],['Jacob Gentry'],"['Chris Sullivan', 'Harry Shum Jr.', 'Kelley Mack']",در اواخر دهه 90، یک آرشیودار ویدئویی مجموعه‌ای از برنامه‌های شوم دزدان دریایی را کشف می‌کند و برای کشف توطئه تاریک پشت آنها وسواس پیدا می‌کند.
Broker 2022,https://www.imdb.com/title/tt13056052,7.1,73,['درام'],2022,['کره جنوبی'],['کره ای'],['Hirokazu Koreeda'],"['Bae Doona', 'Ji-eun Lee', 'Song Kang-ho']",جعبه هایی که برای افراد گذاشته می شود تا به طور ناشناس نوزادان ناخواسته خود را رها کنند.
Brooklyn 2015,https://www.imdb.com/title/tt2381111,7.5,88,"['درام', 'عاشقانه']",2015,"['انگلستان', 'ایرلند', 'کانادا']","['انگلیسی', 'ایرلندی گالیک', 'لاتین']",['John Crowley'],"['Domhnall Gleeson', 'Emory Cohen', 'Saoirse Ronan']",یک مهاجر ایرلندی در 1950 در بروکلین فرود می آید ، جایی که او به سرعت با یک محلی عاشقانه می شود. با این حال ، وقتی گذشته او با او درگیر می شود ، او باید بین دو کشور و زندگی موجود در داخل یکی را انتخاب کند.
Brother in Love 2019,https://www.imdb.com/title/tt10320050,7.0,88,"['خانوادگی', 'کمدی']",2019,['ترکیه'],['ترکی'],['Onur Bilgetay'],"['Cem Gelinoğlu', 'Ege Kökenli', 'Melis Babadag']",پس از یک سری دروغ ها و سوء تفاهم ها، آیکوت، یک صنعتگر ساده، خود را در میانه برنامه های عروسی با گلسا، یک دلال بیمه می بیند. مشکل اینجاست که آیکوت یک هفته با نامزدش نورهان ازدواج می کند...
Brotherhood of the Wolf 2001,https://www.imdb.com/title/tt0237534,7,57,"['اکشن', 'درام', 'ماجراجویی']",2001,['فرانسه'],"['آلمانی', 'ایتالیایی', 'فرانسوی']",['Christophe Gans'],"['Mark Dacascos', 'Samuel Le Bihan']",در فرانسه قرن هجدهم، شوالیه دو فرانساک و دوست بومی آمریکایی اش مانی به دستور پادشاه به استان ژاوودان فرستاده می شوند تا در مورد قتل صدها نفر توسط یک جانور مرموز تحقیق کنند.
Brothers 2009,https://www.imdb.com/title/tt0765010,7.1,58,"['اکشن', 'درام', 'هیجان انگیز']",2009,['ایالات متحده'],['انگلیسی'],['Jim Sheridan'],"['Jake Gyllenhaal', 'Natalie Portman', 'Tobey Maguire']",در حین تور در افغانستان، هلی کوپتر سام سرنگون می شود و فرض بر این است که او کشته شده است. در بازگشت به خانه، این برادر بداخلاق اوست که از خانواده مراقبت می کند. سام برمی گردد، اما با مقدار زیادی چمدان.
Buffalo Soldiers 2001,https://www.imdb.com/title/tt0252299,6.8,56,"['جنایی', 'درام', 'کمدی']",2001,"['آلمان', 'انگلستان']","['انگلیسی', 'ترکی']",['Gregor Jordan'],"['Anna Paquin', 'Ed Harris', 'Joaquin Phoenix']",یک خرده فرهنگ جنایتکار در بین سربازان آمریکایی مستقر در آلمان غربی درست قبل از سقوط دیوار برلین عمل می کند.
Bull 2021,https://www.imdb.com/title/tt13266998,6.4,72,['هیجان انگیز'],2021,['انگلستان'],['انگلیسی'],['Paul Andrew Williams'],"['Adam Xander Angelides', 'Ivy Amelia Angelides', 'Lois Brabin-Platt']",بول به طور مرموزی پس از 10 سال غیبت به خانه بازمی گردد تا از کسانی که در تمام آن سال ها پیش از او عبور کرده بودند انتقام بگیرد.
Bullet Head 2017,https://www.imdb.com/title/tt6204340,5.4,51,"['جنایی', 'درام', 'هیجان انگیز']",2017,"['ایالات متحده آمریکا', 'بلغارستان']",['انگلیسی'],['Paul Solet'],"['Adrien Brody', 'John Malkovich', 'Rory Culkin']",سه جنایتکار حرفه ای خود را در انباری می یابند که در آن قانون بسته شده است و تهدیدی بدتر در داخل آن منتظر است - یک سگ قاتل تقریباً غیرقابل توقف.
Bullet Train 2022,https://www.imdb.com/title/tt12593682,7.3,81,"['اکشن', 'هیجان انگیز']",2022,"['ایالات متحده', 'ژاپن']","['انگلیسی', 'ژاپنی']",['David Leitch'],"['Brad Pitt', 'Joey King', 'Karen Fukuhara']",پنج قاتل سوار بر قطار گلوله‌ای که سریع حرکت می‌کند، متوجه می‌شوند که ماموریت‌هایشان وجه اشتراکی دارد.
Buongiorno notte 2003,https://www.imdb.com/title/tt0377569,7.1,69,['درام'],2003,['ایتالیا'],['ایتالیایی'],['Marco Bellocchio'],"['Luigi Lo Cascio', 'Maya Sansa', 'Roberto Herlitzka']",ربوده شدن آلدو مورو ، سیاستمدار در سال 1978 ، از دیدگاه یکی از مهاجمان وی: یک زن جوان درگیر در صفوف تیپ سرخ.
Burning Betrayal 2023,https://www.imdb.com/title/tt26787296,5.3,,['هیجان انگیز'],2023,['برزیل'],['پرتغالی'],['Diego Freitas'],"['Bruno Montaleone', 'Giovanna Lancellotti', 'Leandro Lima']",بابی متوجه خیانت شریک طولانی مدت خود می شود و تصمیم می گیرد وارد ماجراجویی جدیدی در زندگی شود. در این سفر، او با قاضی مارکو ملاقات می کند و آنها شروع به زندگی در داستانی می کنند که تنش های جنسی زیادی در آن نفوذ کرده است.
Bursa Bülbülü 2023,https://www.imdb.com/title/tt19246408,7,88,"['کمدی', 'موزیکال']",2023,[],['ترکی'],['Hakan Algül'],"['Ata Demirer', 'Celil Nalçakan', 'Cem Gelinoğlu', 'Melek Baykal', 'Özge Özaçar', 'Tarık Papuççuoğlu']","زندگی ""چنگیز"" که خواننده ای در باغ چای در بورسا است و بزرگترین اشتیاقش تولید نوار کاست است، با ملاقات با ""تسکین"" تغییر می کند. زنجیره اتفاقات ناگواری که چنگیز که از برادرش به عاریت گرفته بود، به فکر ..."
Burying the Ex 2014,https://www.imdb.com/title/tt3339674,5.4,37,"['ترسناک', 'عاشقانه', 'کمدی']",2014,['ایالات متحده'],['انگلیسی'],['Joe Dante'],"['Alexandra Daddario', 'Anton Yelchin', 'Ashley Greene']",پشیمانی یک پسر از رفتن به خانه با دوست دخترش بیشتر می شود وقتی او می میرد و به عنوان یک زامبی باز می گردد.
Butchers Crossing 2022,https://www.imdb.com/title/tt1462759,6.1,61,"['درام', 'وسترن']",2022,['ایالات متحده'],['انگلیسی'],['Gabe Polsky'],"['Nicolas Cage', 'Rachel Keller', 'Xander Berkeley']",فردی که لیگ پیچک را ترک می کند به بیابان کلرادو سفر می کند، جایی که به تیمی از شکارچیان بوفالو می پیوندد و در سفری زندگی و سلامت عقل او را به خطر می اندازد. بر اساس رمان بسیار تحسین شده جان ویلیامز.
Bye Bye Morons 2020,https://www.imdb.com/title/tt10196398,7.0,,"['درام', 'کمدی']",2020,['فرانسه'],"['انگلیسی', 'فرانسوی']",['Albert Dupontel'],"['Albert Dupontel', 'Nicolas Marié', 'Virginie Efira']",زنی که به شدت بیمار است سعی می کند با کمک مردی در میانه فرسودگی شغلی و بایگانی نابینا فرزند گمشده خود را پیدا کند.
Caccia tragica 1947,https://www.imdb.com/title/tt0039233,7.0,,"['اکشن', 'درام']",1947,['ایتالیا'],"['آلمانی', 'ایتالیایی']",['Giuseppe De Santis'],"['Andrea Checchi', 'Carla Del Poggio', 'Vivi Gioi']",بلافاصله پس از جنگ ، یک کامیون که میشل و جیووانا تازه ازدواج کرده و حسابدار یک تعاونی کشاورزی ، متهم به آوردن چهار میلیون لیره به کار ، مورد حمله تعدادی راهزن قرار گرفت.
Cadillac Records 2008,https://www.imdb.com/title/tt1042877,7.0,65,"['درام', 'زندگی نامه', 'موسیقی']",2008,['ایالات متحده'],['انگلیسی'],['Darnell Martin'],"['Adrien Brody', 'Beyoncé', 'Jeffrey Wright']",تواریخ ظهور Chess Records و هنرمندان ضبط کننده آن.
Cairo Conspiracy 2022,https://www.imdb.com/title/tt15452062,7.1,74,"['درام', 'هیجان انگیز']",2022,"['سوئد', 'فرانسه', 'فنلاند']",['عربی'],['Tarik Saleh'],"['Fares Fares', 'Mohammad Bakri', 'Tawfeek Barhom']",به آدم، پسر یک ماهیگیر، این امتیاز برای تحصیل در دانشگاه الازهر در قاهره، مرکز قدرت اسلام سنی، پیشنهاد می شود. آدم در درگیری بین نخبگان مذهبی و سیاسی مصر تبدیل به یک مهره می شود.
Calamity a Childhood of Martha Jane Cannary 2020,https://www.imdb.com/title/tt9719864,7.2,86,"['انیمیشن', 'کمدی', 'ماجراجویی']",2020,"['دانمارک', 'فرانسه']",['فرانسوی'],['Rémi Chayé'],"['Alexandra Lamy', 'Alexis Tomassian', 'Salomé Boulven']",1863، کاروانی در غرب آمریکا، مارتا جین باید یاد بگیرد که چگونه از اسب ها مراقبت کند تا واگن خانواده را براند. با این تفاوت که در نهایت شلوار می پوشد و موهایش را کوتاه می کند. رسوایی که شخصیت تند آن برمی انگیزد، مجبور خواهد کرد ...
Call Me by Your Name 2017,https://www.imdb.com/title/tt5726616,7.8,94,"['درام', 'عاشقانه']",2017,"['ایالات متحده آمریکا', 'ایتالیا', 'فرانسه']","['انگلیسی', 'ایتالیایی', 'فرانسوی']",['Luca Guadagnino'],"['Armie Hammer', 'Michael Stuhlbarg', 'Timothée Chalamet']",در دهه 1980 ایتالیا، عشقی بین یک دانش آموز هفده ساله و مرد مسن تری که به عنوان دستیار پژوهشی پدرش استخدام شده بود، شکوفا شد.
Call Time 2021,https://www.imdb.com/title/tt12266988,2.7,,"['ترسناک', 'هیجان انگیز']",2021,['ایالات متحده'],['انگلیسی'],['Derrick Hammond'],"['Marcus T. Paulk', 'Mercedes Gutierrez', 'Tyrone Magnus']",زندگی وقتی از هنر تقلید می کند که یک قاتل مرموز اعضای تیم فیلمبرداری یک فیلم ترسناک را در یک خانه قدیمی ترسناک ترور می کند.
Cam 2018,https://www.imdb.com/title/tt8361028,5.9,71,"['ترسناک', 'درام', 'معمایی']",2018,['ایالات متحده'],['انگلیسی'],['Daniel Goldhaber'],"['Madeline Brewer', 'Melora Walters', 'Patch Darragh']",آلیس ، یک بازیگر دختر جاه طلب ، یک روز از خواب بیدار می شود و می فهمد که در برنامه اش با یک نسخه دقیق از خودش جایگزین شده است.
Cameraperson 2016,https://www.imdb.com/title/tt5375040,7.4,86,"['تاریخی', 'زندگی نامه', 'مستند']",2016,['ایالات متحده'],"['انگلیسی', 'بوسنیایی', 'عربی']",['Kirsten Johnson'],"['Aisha Bukar', 'Dr. Eric W. Davis', 'Kirsten Johnson']",کریستن جانسون با افشای نقش خود در پشت دوربین، به مجموعه عظیمی از فیلم‌هایی که طی دهه‌ها در سراسر جهان گرفته است، دست می‌یابد. آنچه به دست می آید، خاطرات جسورانه بصری و بازجویی افشاگرانه از قدرت دوربین است.
Caramel 2007,https://www.imdb.com/title/tt0825236,7.1,70,"['درام', 'عاشقانه', 'کمدی']",2007,"['فرانسه', 'لبنان']","['عربی', 'فرانسوی']",['Nadine Labaki'],"['Gisèle Aouad', 'Joanna Moukarzel', 'Nadine Labaki']",یک کمدی عاشقانه با محوریت زندگی روزمره پنج زن لبنانی مقیم بیروت.
Carls Date 2023,https://www.imdb.com/title/tt26736061,6.4,,"['انیمیشن', 'کمدی', 'کوتاه']",2023,['ایالات متحده'],['انگلیسی'],['Bob Peterson'],"['Bob Peterson', 'Edward Asner']",کارل فردریکسن با اکراه موافقت می کند که با یک دوست خانم قرار بگذارد - اما مسلماً نمی داند که این روزها قرار ملاقات چگونه کار می کند. داگ که همیشه دوست مفیدی است وارد عمل می‌شود تا ناراحتی‌های کارل قبل از قرار ملاقات را آرام کند و نکات امتحان شده و واقعی را ارائه دهد...
